,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Kanniyakumari,IN,8.0833,77.5667,79.7,77,87,8.7,overcast clouds
349,Houma,US,29.5958,-90.7195,54.0,60,0,8.05,clear sky
350,Realeza,BR,-25.7689,-53.5325,81.9,39,10,4.18,clear sky
351,Ban Tak,TH,17.0432,99.0813,78.21,94,95,3.04,overcast clouds
352,Barra Patuca,HN,15.8,-84.2833,82.2,80,71,10.51,light rain
353,Marzuq,YE,14.4,46.4667,66.74,64,33,6.4,scattered clouds
354,Santa Marta,CO,11.2408,-74.199,87.85,74,20,4.61,light rain
355,Salym,RU,60.0625,71.4789,-8.25,95,47,4.99,scattered clouds
356,Borba,BR,-4.3878,-59.5939,97.83,34,94,3.58,overcast clouds
357,Tunkas,MX,20.9,-88.75,82.85,66,73,8.72,light rain
358,Casa Nova,BR,-9.4167,-41.1333,90.43,38,4,3.38,clear sky
359,Baruun-Urt,MN,46.6806,113.2792,25.99,54,41,6.8,scattered clouds
360,Flin Flon,CA,54.7682,-101.865,5.97,85,66,10.54,broken clouds
361,Fortuna,US,40.5982,-124.1573,38.32,93,0,12.66,clear sky
362,Iquique,CL,-20.2208,-70.1431,69.67,62,30,6.91,scattered clouds
363,Piet Retief,ZA,-27.0071,30.8132,70.92,68,32,4.18,scattered clouds
364,Marawi,PH,7.9986,124.2928,68.22,91,93,1.32,overcast clouds
365,Elliot Lake,CA,46.3834,-82.6331,24.04,53,100,4.07,overcast clouds
366,Soyo,AO,-6.1349,12.3689,78.17,72,32,7.99,scattered clouds
367,Moyale,KE,3.5167,39.0584,76.03,36,14,10.58,few clouds
368,Macau,MO,22.2006,113.5461,76.8,88,0,8.05,clear sky
369,Cooma,AU,-36.2333,149.1333,34.5,95,2,3.02,clear sky
370,Daru,PG,-9.0763,143.2092,80.62,86,100,5.88,overcast clouds
371,Rundu,NA,-17.9333,19.7667,86.88,17,12,3.38,few clouds
372,Stokmarknes,NO,68.5646,14.9108,40.96,74,0,2.3,clear sky
373,Gangapur,IN,26.4833,76.7167,66.09,31,0,5.23,clear sky
374,Dakar,SN,14.6937,-17.4441,94.08,72,30,13.42,scattered clouds
375,Dabola,GN,10.75,-11.1167,84.52,38,96,0.69,overcast clouds
376,Marion,US,39.7684,-86.1555,31.55,75,100,10.36,overcast clouds
377,Slonim,BY,53.0867,25.3219,28.44,71,27,5.1,scattered clouds
378,Troitskoye,RU,52.9821,84.6757,23.31,95,100,6.42,light snow
379,Bajos De Haina,DO,18.4154,-70.0332,87.73,83,40,8.05,scattered clouds
380,Olinda,BR,-8.0089,-34.8553,83.93,58,40,10.36,scattered clouds
381,Aljezur,PT,37.3191,-8.8033,64.31,91,98,8.12,overcast clouds
382,Westport,US,41.1415,-73.3579,46.31,54,81,11.01,broken clouds
383,Kochki,RU,54.3358,80.4806,15.76,92,100,7.29,overcast clouds
384,Zhezkazgan,KZ,47.8043,67.7144,20.84,87,93,5.84,overcast clouds
385,Armidale,AU,-30.5167,151.65,37.33,95,1,2.33,clear sky
386,Takoradi,GH,4.8845,-1.7554,81.36,74,23,9.75,few clouds
387,Hobbs,US,32.7026,-103.136,46.49,35,0,17.27,clear sky
388,Aksu,CN,41.1231,80.2644,37.58,36,3,2.01,clear sky
389,Davila,PH,18.4726,120.5763,80.37,79,19,6.96,few clouds
390,Joensuu,FI,62.6012,29.7632,28.89,93,32,4.61,fog
391,Lumeje,AO,-11.55,20.7833,75.15,64,95,2.93,overcast clouds
392,Punto Fijo,VE,11.6956,-70.1996,84.51,69,99,18.86,overcast clouds
393,Rapid Valley,US,44.0625,-103.1463,18.45,66,0,32.21,clear sky
394,Vanderhoof,CA,54.0166,-124.0198,9.99,91,46,0.29,scattered clouds
395,Nuuk,GL,64.1835,-51.7216,22.87,73,100,10.0,overcast clouds
396,Port Blair,IN,11.6667,92.75,79.18,82,100,4.45,light rain
397,Carballo,ES,43.213,-8.691,55.87,93,68,4.99,broken clouds
398,Bereda,ES,43.2686,-7.5406,51.15,100,78,5.41,broken clouds
399,Isangel,VU,-19.55,169.2667,78.12,86,88,6.49,overcast clouds
400,Gamut,PH,8.5303,126.2422,73.53,96,72,1.59,light rain
401,Tadine,NC,-21.55,167.8833,76.28,85,64,6.87,broken clouds
402,Kampot,KH,10.6167,104.1833,77.05,88,99,2.75,overcast clouds
403,Itaituba,BR,-4.2761,-55.9836,96.64,35,91,1.41,overcast clouds
404,Brae,GB,60.3964,-1.353,46.11,69,100,31.59,overcast clouds
405,Alihe,CN,50.5667,123.7167,11.62,98,70,3.56,broken clouds
406,Shingu,JP,33.7333,135.9833,51.85,68,100,5.32,overcast clouds
407,Labuhan,ID,-6.8844,112.2051,80.46,82,93,7.85,overcast clouds
408,Redding,US,40.5865,-122.3917,50.61,42,100,2.53,overcast clouds
409,Tiznit,MA,29.5833,-9.5,67.33,42,5,7.87,clear sky
410,Ponta Delgada,PT,37.7333,-25.6667,63.5,59,20,9.22,few clouds
411,Vostok,RU,46.4856,135.8833,15.51,94,100,4.34,overcast clouds
412,Bowen,AU,-20.0167,148.2333,74.71,79,82,7.99,broken clouds
413,Deputatskiy,RU,69.3,139.9,-29.74,100,31,1.95,scattered clouds
414,Yenangyaung,MM,20.4667,94.8833,73.54,58,13,4.23,few clouds
415,Mikhaylovka,RU,50.06,43.2379,45.79,98,100,7.9,overcast clouds
416,Teguise,ES,29.0605,-13.564,70.02,78,20,14.97,few clouds
417,Bafang,CM,5.1563,10.1788,66.31,86,44,3.4,light rain
418,Abu Samrah,SY,35.3029,37.1841,59.81,71,22,9.26,few clouds
419,La Brea,HN,15.8,-85.9667,83.71,74,40,3.44,scattered clouds
420,Nioro,GM,13.35,-15.75,95.31,23,86,5.39,overcast clouds
421,Severo-Kurilsk,RU,50.6789,156.125,33.6,69,100,13.31,overcast clouds
422,Yar-Sale,RU,66.8333,70.8333,13.78,88,100,31.81,light snow
423,Marshfield,US,44.6689,-90.1718,26.19,80,100,8.05,overcast clouds
424,Marsaxlokk,MT,35.8419,14.5431,68.07,82,20,8.05,few clouds
425,Baykit,RU,61.67,96.37,-22.38,100,32,2.71,scattered clouds
426,Puerto Leguizamo,CO,-0.1934,-74.7819,80.87,76,100,3.76,overcast clouds
427,Kuito,AO,-12.3833,16.9333,68.81,65,58,5.97,broken clouds
428,Kumylzhenskaya,RU,49.8809,42.5898,45.99,96,100,7.18,overcast clouds
429,Caravelas,BR,-17.7125,-39.2481,74.43,91,100,5.59,overcast clouds
430,Andros Town,BS,24.7,-77.7667,81.91,66,6,10.45,clear sky
431,Nome,US,64.5011,-165.4064,35.67,87,100,14.97,overcast clouds
432,Hastings,GB,50.8552,0.5729,53.29,73,34,22.32,scattered clouds
433,Mizan Teferi,ET,6.9833,35.5833,62.94,87,29,2.39,scattered clouds
434,Tokur,RU,53.1333,132.9,8.1,95,100,2.48,overcast clouds
435,Dongsheng,CN,39.8161,109.9776,39.87,58,100,7.36,overcast clouds
436,Camopi,GF,3.1655,-52.3158,96.04,27,13,2.75,few clouds
437,Exeter,GB,50.7236,-3.5275,49.75,84,20,9.22,few clouds
438,Talnakh,RU,69.4865,88.3972,-13.86,97,100,18.88,light snow
439,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,12.66,light snow
440,Ewo,CG,-0.8725,14.8206,73.94,86,92,2.19,light rain
441,Houston,US,29.7633,-95.3633,56.93,59,0,5.75,clear sky
442,Hambantota,LK,6.1241,81.1185,79.84,74,100,5.79,overcast clouds
443,Narodychi,UA,51.2029,29.0823,27.1,78,97,6.29,overcast clouds
444,Tshikapa,CD,-6.4167,20.8,73.65,89,82,2.15,light rain
445,Wattegama,LK,6.7989,81.4808,72.45,81,99,3.94,overcast clouds
446,Zemio,CF,5.0314,25.1361,77.52,45,25,2.98,scattered clouds
447,San Quintin,MX,30.4833,-115.95,65.07,22,30,1.45,scattered clouds
448,Reyes,BO,-14.3167,-67.3833,103.59,23,79,2.55,broken clouds
449,Griffith,US,41.5284,-87.4237,32.05,74,40,18.41,scattered clouds
450,Kiunga,PG,-6.1219,141.2906,74.64,100,100,1.01,moderate rain
451,Rumphi,MW,-11.0186,33.8575,72.0,61,44,4.36,scattered clouds
452,Rawson,AR,-43.3002,-65.1023,82.6,29,98,16.84,overcast clouds
453,Hokitika,NZ,-42.7167,170.9667,56.61,88,79,5.41,broken clouds
454,Pacific Grove,US,36.6177,-121.9166,57.51,62,0,7.0,clear sky
455,Fort Nelson,CA,58.8053,-122.7002,13.14,85,72,2.04,broken clouds
456,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,55,59,20.18,broken clouds
457,Teteven,BG,42.9167,24.2667,54.28,79,53,0.47,broken clouds
458,Alta Floresta,BR,-9.8756,-56.0861,94.37,38,54,2.37,broken clouds
459,Atar,MR,20.5169,-13.0499,90.16,12,0,8.77,clear sky
460,Chifeng,CN,42.2683,118.9636,32.65,70,84,4.72,broken clouds
461,High Level,CA,58.5169,-117.136,20.3,72,100,4.52,overcast clouds
462,Tinskoy,RU,56.1525,96.9161,22.39,81,60,12.8,broken clouds
463,Pozo Colorado,PY,-23.4923,-58.7972,95.85,18,0,5.39,clear sky
464,Floriano,BR,-6.7669,-43.0225,99.46,26,19,6.87,few clouds
465,Vaitape,PF,-16.5167,-151.75,78.91,76,32,0.85,scattered clouds
466,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.54,59,41,9.24,scattered clouds
467,Rtishchevo,RU,52.2604,43.7874,31.93,99,100,7.99,light snow
468,Prudy,RU,57.5738,46.2718,19.53,80,56,11.83,broken clouds
469,Roma,US,43.2128,-75.4557,37.96,79,100,12.66,light snow
470,Da Nang,VN,16.0678,108.2208,80.58,89,75,3.44,broken clouds
471,Aksarka,RU,66.5606,67.7975,16.81,75,100,26.89,overcast clouds
472,Sechura,PE,-5.5569,-80.8222,75.78,59,96,8.19,overcast clouds
473,Banikoara,BJ,11.2985,2.4386,85.1,22,57,4.07,broken clouds
474,Portree,GB,57.4129,-6.1942,44.53,94,100,6.49,overcast clouds
475,Darab,IR,28.7519,54.5444,66.33,39,100,1.77,overcast clouds
476,Lasa,IT,46.6166,10.7002,40.03,89,84,1.83,broken clouds
477,Azul,AR,-36.777,-59.8585,86.14,33,100,10.22,overcast clouds
478,Saquena,PE,-4.6667,-73.5167,91.9,46,84,3.65,light rain
479,Makokou,GA,0.5738,12.8642,70.72,98,95,3.18,light rain
480,Manokwari,ID,-0.8667,134.0833,78.87,81,100,3.58,overcast clouds
481,Makungu,TZ,-8.7333,35.2833,65.79,83,79,4.52,light rain
482,Kjollefjord,NO,70.9457,27.3465,41.05,93,75,4.61,light intensity drizzle
483,Okha,RU,53.5739,142.9478,12.15,92,67,5.55,broken clouds
484,Jos,NG,9.9167,8.9,71.4,31,76,5.48,broken clouds
485,Olavarria,AR,-36.8927,-60.3225,86.4,32,100,11.61,overcast clouds
486,Umm Kaddadah,SD,13.6017,26.6876,76.41,19,0,11.18,clear sky
487,Irpa Irpa,BO,-17.7167,-66.2667,86.0,16,6,4.97,clear sky
488,Eston,CA,51.1501,-108.7514,7.92,87,79,14.2,broken clouds
489,Matagami,CA,49.7502,-77.6328,17.71,86,100,13.8,overcast clouds
490,Asfi,MA,32.2994,-9.2372,67.96,88,18,7.76,few clouds
491,Khromtau,KZ,50.2503,58.4347,24.28,73,100,14.63,overcast clouds
492,Sahuaripa,MX,29.05,-109.2333,65.59,30,3,4.72,clear sky
493,Plettenberg Bay,ZA,-34.0527,23.3716,61.88,69,100,2.95,overcast clouds
494,Kamloops,CA,50.6665,-120.3192,24.01,91,84,1.63,broken clouds
495,Ust-Omchug,RU,61.15,149.6333,-17.88,99,100,4.0,overcast clouds
496,Inta,RU,66.0317,60.1659,8.6,83,100,32.35,overcast clouds
497,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,6.91,scattered clouds
498,Havelock,US,34.8791,-76.9013,50.99,47,0,11.5,clear sky
499,Sioux Lookout,CA,50.1001,-91.917,21.27,93,100,5.75,overcast clouds
500,Christchurch,NZ,-43.5333,172.6333,55.94,93,100,8.05,mist
501,Kamaishi,JP,39.2667,141.8833,40.62,63,1,6.17,clear sky
502,Luderitz,NA,-26.6481,15.1594,65.82,61,5,19.89,clear sky
503,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,20,8.05,few clouds
504,Nuristan,AF,35.3,70.8333,19.02,43,24,11.34,few clouds
505,Coffs Harbour,AU,-30.3,153.1333,58.96,67,75,8.05,broken clouds
506,Berlevag,NO,70.8578,29.0864,42.75,93,75,14.97,light intensity drizzle
507,Cururupu,BR,-1.8283,-44.8683,84.47,67,97,4.85,overcast clouds
508,Yenotayevka,RU,47.2456,47.0281,45.41,84,98,10.85,overcast clouds
509,Greenville,US,35.6127,-77.3663,50.16,41,0,8.05,clear sky
510,Kingisepp,RU,59.3733,28.6134,29.05,77,53,8.86,broken clouds
511,Tigre,AR,-34.426,-58.5796,89.06,43,0,13.8,clear sky
512,Torbat-E Jam,IR,35.244,60.6225,60.15,29,99,3.58,overcast clouds
513,Bata,GQ,1.8639,9.7658,77.77,85,83,9.35,light rain
514,Doha,QA,25.2867,51.5333,82.38,74,0,5.75,clear sky
515,Malanje,AO,-9.5402,16.341,67.95,75,84,3.29,broken clouds
516,Poronaysk,RU,49.2167,143.1167,21.67,82,19,3.74,few clouds
517,Arica,CL,-18.475,-70.3042,76.55,60,0,14.97,clear sky
518,Boende,CD,-0.2167,20.8667,70.65,98,92,2.57,overcast clouds
519,Bandarbeyla,SO,9.4942,50.8122,78.71,70,1,16.6,clear sky
520,Mus,TR,39.0,41.75,37.69,89,99,4.83,overcast clouds
521,Anori,BR,-3.7728,-61.6442,96.15,40,93,1.63,overcast clouds
522,Vilani,LV,56.5525,26.9245,29.41,84,99,15.35,overcast clouds
523,Camacari,BR,-12.6975,-38.3242,85.77,63,66,10.36,broken clouds
524,Reconquista,AR,-29.15,-59.65,96.94,17,0,13.76,clear sky
525,Shatsk,RU,54.0258,41.7119,27.45,96,100,11.7,light snow
526,Yaan,NG,7.3833,8.5667,85.39,41,74,1.7,broken clouds
527,Afua,BR,-0.1567,-50.3867,90.79,50,97,5.59,overcast clouds
528,Acapulco,MX,16.8634,-99.8901,85.82,62,20,3.44,few clouds
529,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,40,24.16,scattered clouds
530,Canico,PT,32.6333,-16.85,75.13,82,40,5.75,scattered clouds
531,Cayenne,GF,4.9333,-52.3333,89.64,62,0,8.05,clear sky
532,Arriana,GR,41.0833,25.7,61.95,94,37,6.33,scattered clouds
533,Oncesti,RO,46.4667,27.25,39.24,91,99,14.45,overcast clouds
534,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.03,67,99,9.44,overcast clouds
535,Biskamzha,RU,53.4497,89.5272,18.36,90,100,10.8,overcast clouds
536,Kichmengskiy Gorodok,RU,59.9816,45.7854,15.28,90,8,5.37,clear sky
537,Harper,LR,4.375,-7.7169,81.03,76,72,10.47,light rain
538,Ampanihy,MG,-24.7,44.75,72.82,69,0,9.73,clear sky
539,Amalapuram,IN,16.5833,82.0167,71.96,70,52,3.31,broken clouds
540,Frolovo,RU,49.7713,43.6622,45.39,95,100,10.45,overcast clouds
541,Eureka,US,40.8021,-124.1637,43.41,55,72,0.67,broken clouds
542,Lyaskelya,RU,61.7667,31.0167,25.99,90,12,4.5,few clouds
543,Kloulklubed,PW,7.0419,134.2556,75.7,79,100,8.95,overcast clouds
544,Ugoofaaru,MV,5.6667,73.0,81.79,77,8,10.54,clear sky
545,Angoche,MZ,-16.2325,39.9086,80.26,78,37,10.42,light rain
546,Haimen,CN,23.1935,116.6142,70.32,92,0,4.94,clear sky
547,Ranong,TH,9.9658,98.6348,76.93,90,100,3.67,overcast clouds
548,Tranas,SE,58.0372,14.9782,33.39,85,100,9.64,overcast clouds
549,Elizabeth City,US,36.2946,-76.2511,52.0,44,0,14.97,clear sky
550,Paracuru,BR,-3.41,-39.0306,82.11,57,6,17.2,clear sky
551,Kemijarvi,FI,66.7131,27.4306,14.77,98,37,1.72,scattered clouds
552,Morros,BR,-9.4467,-46.3003,87.53,45,100,3.36,overcast clouds
553,Sompeta,IN,18.9333,84.6,72.41,60,34,5.57,scattered clouds
554,Chihuahua,MX,28.5,-106.0,46.2,47,0,3.62,clear sky
555,Uglovka,RU,58.2392,33.5108,23.4,93,92,7.7,overcast clouds
556,Ancud,CL,-41.8697,-73.8203,57.52,90,100,8.59,overcast clouds
557,Kokopo,PG,-4.352,152.2633,77.58,86,77,3.13,broken clouds
558,Husavik,IS,66.0449,-17.3389,44.55,82,88,19.19,overcast clouds
559,Kathmandu,NP,27.7167,85.3167,55.62,82,20,3.44,few clouds
560,Ambovombe,MG,-25.1667,46.0833,71.31,75,0,8.32,clear sky
561,Tignere,CM,7.3667,12.65,72.72,38,2,4.61,clear sky
562,Halifax,CA,44.6453,-63.5724,45.68,69,92,8.99,overcast clouds
563,Zyryanka,RU,65.75,150.85,-13.47,99,100,7.49,overcast clouds
564,Mahabad,IR,36.7631,45.7222,46.81,75,85,10.09,overcast clouds
565,Narsaq,GL,60.9167,-46.05,21.42,81,68,4.74,broken clouds
566,Gat,IL,31.61,34.7642,66.88,100,13,2.06,few clouds
567,Bonavista,CA,48.6499,-53.1147,47.73,97,100,20.36,light rain
568,Taman,RU,45.2117,36.7161,55.9,84,94,29.48,light rain
569,Gogrial,SS,8.5332,28.1004,83.89,27,35,5.14,scattered clouds
570,Kargasok,RU,59.0556,80.8572,-13.81,100,17,4.27,few clouds
571,Kodala,IN,19.6333,84.95,67.93,57,4,2.53,clear sky
572,Isla Vista,US,34.4133,-119.861,71.35,34,0,0.0,clear sky
573,Angoram,PG,-4.0625,144.0661,73.38,98,100,1.01,overcast clouds
574,Chumikan,RU,54.7183,135.315,18.34,80,89,11.07,overcast clouds
575,Damghan,IR,36.1683,54.348,53.73,53,100,3.67,overcast clouds
576,Bassar,TG,9.25,0.7833,85.26,26,67,1.68,broken clouds
577,Awbari,LY,26.5921,12.7805,66.83,21,1,2.93,clear sky
578,Sola,VU,-13.8833,167.55,81.25,72,7,6.17,clear sky
579,Buta,CD,2.7858,24.73,71.69,90,96,2.51,overcast clouds
580,Isla Aguada,MX,18.7833,-91.4667,78.84,75,13,8.32,light rain
581,Surt,LY,31.2089,16.5887,74.34,49,27,6.93,scattered clouds
582,Skjervoy,NO,70.0311,20.9714,26.6,41,41,5.39,scattered clouds
583,Mundo Nuevo,MX,18.7,-95.5,71.44,83,100,26.04,overcast clouds
584,Churapcha,RU,62.0025,132.4325,-18.0,91,98,5.48,overcast clouds
585,Tigil,RU,57.8,158.6667,12.45,96,100,6.26,overcast clouds
586,Maamba,ZM,-17.3667,27.15,83.03,36,0,4.45,clear sky
587,Beloeil,CA,45.5668,-73.1992,32.99,73,99,1.99,overcast clouds
588,Susanville,US,40.4163,-120.653,38.12,74,0,0.0,clear sky
589,Great Yarmouth,GB,52.6083,1.7305,49.44,84,100,26.04,overcast clouds
590,Palmer,US,42.1584,-72.3287,44.2,58,93,4.0,overcast clouds
591,Vengerovo,RU,55.6848,76.7471,3.06,97,63,4.18,broken clouds
592,Pedasi,PA,7.5333,-80.0333,88.07,84,100,15.95,moderate rain
593,Sakata,JP,38.9167,139.855,44.28,69,6,4.38,clear sky
594,Ola,RU,59.5833,151.2833,3.88,86,100,8.32,overcast clouds
595,Monte Azul,BR,-15.155,-42.8747,83.82,48,100,4.81,light rain
596,Dmitriyevka,RU,54.75,55.3333,17.15,87,96,8.75,overcast clouds
597,Macklin,CA,52.3334,-109.9348,-5.1,93,25,6.93,scattered clouds
598,Taoudenni,ML,22.6783,-3.9836,83.55,10,0,8.05,clear sky
599,Uhlove,UA,44.8215,33.6045,59.02,88,100,26.62,moderate rain
600,Mackay,AU,-21.15,149.2,69.67,72,35,5.79,scattered clouds
601,Vestmanna,FO,62.1564,-7.1664,47.32,81,100,25.32,overcast clouds
602,Honningsvag,NO,70.9821,25.9704,40.75,87,75,5.75,broken clouds
603,Pingyin,CN,36.2831,116.4453,50.7,60,3,6.02,clear sky
604,Coos Bay,US,43.3665,-124.2179,39.18,93,75,8.05,broken clouds
605,Ishim,RU,56.1128,69.4902,-7.69,98,7,1.52,clear sky
606,Colares,PT,38.7992,-9.4469,65.75,79,40,14.0,scattered clouds
607,Waddan,LY,29.1614,16.139,71.35,20,17,5.08,few clouds
608,Tamayo,DO,18.3947,-71.2029,89.31,70,20,13.8,few clouds
609,Vila Velha,BR,-20.3297,-40.2925,78.75,81,75,15.01,light rain
610,Nefteyugansk,RU,61.0998,72.6035,-4.97,92,63,11.56,broken clouds
611,Wanaka,NZ,-44.7,169.15,54.41,92,100,1.23,overcast clouds
612,Celestun,MX,20.8667,-90.4,81.84,68,97,11.83,light rain
613,Kingsville,US,27.5159,-97.8561,54.84,58,100,11.5,overcast clouds
614,Magdagachi,RU,53.45,125.8,16.12,96,100,3.89,overcast clouds
615,Marystown,CA,47.1666,-55.1483,48.81,86,100,24.29,overcast clouds
616,Pemangkat,ID,1.1667,108.9667,79.59,84,100,3.44,light rain
617,Neokhorion,GR,41.1833,23.25,56.1,79,32,1.03,scattered clouds
618,Bilma,NE,18.6853,12.9164,74.1,17,30,5.14,scattered clouds
619,Great Bend,US,38.3645,-98.7648,40.6,76,100,14.97,overcast clouds
620,Chapais,CA,49.7834,-74.8492,20.98,86,100,8.93,light snow
621,Derazhnya,UA,49.2692,27.4338,30.85,97,100,9.13,light snow
622,Magan,ES,39.9683,-3.931,63.52,73,77,22.77,broken clouds
623,Buraydah,SA,26.326,43.975,77.76,43,100,1.43,overcast clouds
624,Tighina,MD,46.8306,29.4711,41.77,94,100,11.01,overcast clouds
625,Clarence Town,AU,-32.5833,151.7833,57.85,89,69,3.31,broken clouds
626,Half Moon Bay,US,37.4636,-122.4286,57.88,73,0,3.44,clear sky
627,Bourail,NC,-21.5667,165.4833,74.91,87,100,2.84,overcast clouds
628,Ketchikan,US,55.3422,-131.6461,35.31,80,19,5.32,few clouds
629,Qingdao,CN,36.0986,120.3719,57.49,70,0,5.64,clear sky
630,Soledad,CO,10.9184,-74.7646,89.73,66,40,4.61,scattered clouds
631,Mayachnyy,RU,52.6839,55.685,25.92,83,100,16.82,overcast clouds
632,Marfino,RU,55.7028,37.3822,26.17,73,75,11.18,broken clouds
633,Zhanaozen,KZ,43.3,52.8,49.53,59,100,12.33,overcast clouds
634,Ostersund,SE,63.1792,14.6357,18.05,100,0,11.99,clear sky
635,Vrangel,RU,42.7297,133.0839,44.76,88,75,3.98,broken clouds
636,Marang,MY,5.2056,103.2059,78.73,85,84,0.45,broken clouds
637,Clinton,US,42.587,-82.9199,36.9,74,100,11.5,overcast clouds
638,Inuvik,CA,68.3499,-133.7218,5.58,75,13,4.0,few clouds
639,Montemor-O-Novo,PT,38.6481,-8.2145,58.33,82,80,7.96,broken clouds
640,Temir,KZ,49.1414,57.13,29.23,78,100,18.34,overcast clouds
641,Kahului,US,20.8947,-156.47,74.84,82,20,6.91,few clouds
642,Amuntai,ID,-2.4177,115.2494,74.7,99,99,2.59,heavy intensity rain
643,Saint-Georges,GD,12.0564,-61.7485,82.31,74,76,14.18,broken clouds
644,Sembakung,ID,3.8167,117.25,74.41,98,99,0.56,overcast clouds
645,Hailar,CN,49.2,119.7,17.38,92,7,7.7,clear sky
646,Yabrud,SY,33.9674,36.6574,49.89,74,27,3.74,scattered clouds
647,Aksay,RU,47.26,39.87,48.25,91,98,13.0,overcast clouds
648,Kununurra,AU,-15.7667,128.7333,80.58,89,25,5.75,light rain
649,Sal Rei,CV,16.1833,-22.9167,84.4,65,78,14.97,haze
650,Spearfish,US,44.4908,-103.8594,16.88,73,100,21.85,overcast clouds
651,Basco,PH,20.4487,121.9702,81.09,82,34,18.97,scattered clouds
652,Chaplynka,UA,46.3651,33.5403,55.18,94,100,17.05,moderate rain
653,Razumnoye,RU,50.5344,36.6846,25.88,93,75,8.95,broken clouds
654,Aloleng,PH,16.1307,119.7824,80.85,76,32,7.31,scattered clouds
655,Mitu,CO,1.1983,-70.1733,76.33,96,100,1.05,overcast clouds
656,Imbituba,BR,-28.24,-48.6703,76.17,41,19,7.29,few clouds
657,Havoysund,NO,70.9963,24.6622,41.23,78,37,3.33,scattered clouds
658,Huangzhai,CN,38.0751,112.6595,39.61,53,100,3.24,overcast clouds
659,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,66,59,10.98,broken clouds
660,Svetlaya,RU,46.5389,138.3297,26.96,74,14,4.65,few clouds
661,Ginir,ET,7.1333,40.7,58.57,53,5,2.06,clear sky
662,Colquiri,BO,-17.4167,-67.1333,58.26,20,26,17.4,scattered clouds
663,San Antonio,US,29.4241,-98.4936,57.47,37,100,9.22,overcast clouds
664,Apache Junction,US,33.4151,-111.5496,61.9,22,0,11.5,clear sky
665,Ust-Kulom,RU,61.6864,53.6902,2.98,98,31,2.68,scattered clouds
666,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,8.05,broken clouds
667,Labytnangi,RU,66.6572,66.4183,17.22,82,100,23.8,overcast clouds
668,Nemuro,JP,43.3236,145.575,37.65,72,27,16.31,scattered clouds
669,Santiago,CL,-33.4569,-70.6483,89.55,34,0,11.5,clear sky
670,Marquette,US,46.5333,-87.6335,30.83,76,100,2.68,overcast clouds
671,Fuling,CN,29.7022,107.3919,61.3,77,86,2.1,overcast clouds
672,Don Sak,TH,9.3168,99.6918,80.15,81,99,2.68,overcast clouds
673,Asau,RO,46.4333,26.4,36.52,91,99,1.52,overcast clouds
674,Belyy Yar,RU,53.6039,91.3903,24.85,60,0,13.42,clear sky
675,Salatrucu,RO,45.3333,24.5167,42.17,87,66,6.44,broken clouds
676,Kazanka,UA,47.8462,32.8218,41.88,93,100,15.79,moderate rain
677,Honiara,SB,-9.4333,159.95,78.39,87,88,0.89,overcast clouds
678,Puerto Ayacucho,VE,5.6639,-67.6236,77.77,87,100,2.21,overcast clouds
679,Stavern,NO,59.0,10.0333,36.18,85,100,25.05,overcast clouds
680,Bulgan,MN,48.8125,103.5347,27.41,36,94,3.2,overcast clouds
681,Nabire,ID,-3.3667,135.4833,77.23,90,91,3.58,overcast clouds
682,Tumpat,MY,6.1978,102.171,77.09,89,73,0.69,broken clouds
683,Chicama,PE,-7.8447,-79.1469,63.14,63,100,9.93,overcast clouds
684,Maniwaki,CA,46.3834,-75.966,27.91,60,100,9.71,overcast clouds
685,Haines Junction,CA,60.7522,-137.5108,6.08,98,91,0.92,overcast clouds
686,Ust-Maya,RU,60.4167,134.5333,-33.03,100,71,2.04,broken clouds
687,Champerico,GT,14.3,-91.9167,91.94,74,3,4.36,clear sky
688,Kihei,US,20.785,-156.4656,74.84,84,20,6.91,few clouds
689,Glenwood Springs,US,39.5505,-107.3248,29.07,79,0,10.36,clear sky
690,Rosario Oeste,BR,-14.8361,-56.4275,100.06,21,5,3.51,clear sky
691,Klisura,BG,42.7,24.45,50.88,84,45,3.02,scattered clouds
692,Nizhniy Odes,RU,63.6445,54.856,-0.02,94,72,6.44,broken clouds
693,Zhangye,CN,38.9342,100.4517,30.85,38,29,1.7,scattered clouds
694,Piotrkow Trybunalski,PL,51.4055,19.7032,32.11,10,38,7.96,scattered clouds
695,Kemise,ET,10.7167,39.8667,65.43,47,7,1.86,clear sky
696,Kolondieba,ML,11.0882,-6.8926,90.5,14,87,7.07,overcast clouds
